,day,depot,list_plants,list_pickups,list_dropoffs,total_jobs,total_distance,routing_sequence,worst_edge_pickup,worst_edge_distance,worst_edge_dropoff,edges,distance_uptodate
96,16736,Neuherberg,['Neuherberg'],"['9071_9000176247', '10010_9000163472', '10823_9000179854', '10971_9000167597', '11135_9000181121', '11460_9000172880', '19066_9000178104', '19136_9000177734', '19192_9000179947', '19231_9000177739', '19323_9000173538', '20070_9000164916', '29136_9000173892', '19174_9000152436']","['10011_9000185312', '10114_9000184146', '10202_9000185861', '10217_9000183416', '10293_9000183363', '11237_9000183095', '11273_9000184409', '11412_9000185132', '11432_9000184525', '11550_9000185021', '18009_9000182580', '19131_9000184087', '20125_9000184725', '29048_9000185655', '29165_9000185243', '11456_9000184480', '20505_9000184444']",0,0,[],,,0,0,True
97,16737,Neuherberg,['Neuherberg'],"['10134_9000176965', '10515_9000178084', '10660_9000178845', '10810_9000171669', '11109_9000163215', '11277_9000168109', '11332_9000171671', '11400_9000174044', '11430_9000174881', '11504_9000167947', '19207_9000178752', '50049_9000169481']","['9048_9000185415', '10495_9000184313', '11135_9000186201', '11435_9000183347', '11460_9000185525', '11461_9000186612', '11542_9000183334', '19155_9000183228', '19239_9000185463', '29019_9000186713', '29203_9000185890', '29248_9000186740', '29234_9000182753']",0,0,[],,,0,0,True
98,16738,Neuherberg,['Neuherberg'],"['11055_9000180405', '11423_9000177767', '19197_9000180247', '50067_9000177414', '10451_9000176839']","['9011_9000187339', '9251_9000182399', '10350_9000187755', '10650_9000187428', '10915_9000187072', '11386_9000186431', '11411_9000188200', '19128_9000186807', '19207_9000186902', '19267_9000187047', '20157_9000185846', '20302_9000187363', '20501_9000187216', '20551_9000186365', '29115_9000187573', '29164_9000171059', '50088_9000185698']",0,0,[],,,0,0,True
99,16739,Neuherberg,['Neuherberg'],"['10116_9000167747', '10208_9000169511', '10259_9000181127', '10743_9000175065', '11054_9000179166', '11225_9000176973', '11342_9000181042', '11452_9000166512', '29193_9000170631', '29202_9000172412']","['9096_9000188031', '10502_9000189259', '10653_9000187040', '10970_9000186769', '11109_9000187396', '11154_9000187574', '11193_9000188282', '11259_9000185950', '11274_9000187058', '11277_9000188299', '11430_9000187599', '11447_9000186485', '11504_9000186969', '11556_9000189721', '19215_9000187593', '19316_9000186623', '19318_9000189134', '20260_9000185397', '20390_9000186962', '20488_9000179693', '20537_9000186884', '29136_9000187005']",0,0,[],,,0,0,True
100,16740,Neuherberg,['Neuherberg'],"['10102_9000184602', '11249_9000168696', '11369_9000178601', '19139_9000179523', '20471_9000166457', '29216_9000168990', '50129_9000177073', '73044_9000176952']","['9028_9000189166', '10041_9000187902', '11420_9000188842', '11423_9000188285', '11522_9000188466', '11536_9000188687', '19021_9000186461', '19205_9000190193', '19285_9000187787', '19921_9000187704', '20067_9000189154', '20159_9000188554', '29043_9000188882', '50134_9000189180']",0,0,[],,,0,0,True
101,16741,Neuherberg,['Neuherberg'],"['9048_9000185415', '10186_9000180161', '10237_9000184609', '10635_9000182672', '10995_9000177002', '11185_9000181692', '11186_9000181132', '11229_9000174387', '11271_9000173958', '11434_9000176587', '11523_9000176874', '19034_9000183738', '19207_9000186902', '19224_9000178614', '19317_9000178836', '19318_9000189134', '50116_9000176979', '29119_9000153457', '10001_9000175477', '20132_9000179955']","['10259_9000189436', '10559_9000190227', '10669_9000190594', '10801_9000190320', '10844_9000188147', '11081_9000190818', '11194_9000190546', '11365_9000187784', '11389_9000190156', '11413_9000190015', '11537_9000191167', '19059_9000188376', '19066_9000190708', '19071_9000187749', '19123_9000189890', '20183_9000189821', '29006_9000187789', '50067_9000189987', '73043_9000189261', '19323_9000187674']",0,0,[],,,0,0,True
102,16742,Neuherberg,['Neuherberg'],"['9009_9000179299', '10338_9000179881', '11080_9000182225', '11184_9000170491', '11385_9000184192', '11540_9000179512', '19159_9000178842', '19267_9000187047', '19293_9000183075', '19325_9000179144', '20176_9000178316', '20187_9000163374', '20206_9000180108', '50113_9000179443', '73113_9000176308', '20355_9000139010']","['4422_9000192417', '10010_9000190689', '10179_9000191165', '10738_9000189798', '10739_9000191435', '10789_9000190800', '11018_9000190464', '11201_9000187746', '11214_9000191203', '11260_9000190361', '11281_9000192397', '11330_9000190491', '11427_9000191194', '11438_9000190749', '11473_9000190301', '11505_9000191945', '18008_9000191217', '19231_9000189706', '19280_9000190543', '20519_9000191168', '29202_9000190688', '29216_9000190317', '50046_9000191896', '50085_9000190059', '11110_9000192435']",0,0,[],,,0,0,True
103,16743,Neuherberg,['Neuherberg'],"['9053_9000163233', '10011_9000185312', '11237_9000183095', '11263_9000176788', '11367_9000174982', '11444_9000181988', '11461_9000186612', '11475_9000179826', '11542_9000183334', '19151_9000178786', '19250_9000173211', '20054_9000176327', '20334_9000170644', '20337_9000178664', '20592_9000179663', '29043_9000188882', '50074_9000179503', '50115_9000183148']","['9071_9000191783', '9255_9000192274', '10152_9000192309', '10186_9000191436', '10207_9000190413', '10260_9000191842', '10338_9000193763', '10382_9000192395', '10515_9000191881', '10971_9000191400', '10995_9000191428', '11014_9000192605', '11055_9000189550', '11229_9000192307', '11323_9000192028', '11385_9000192488', '11452_9000191571', '11523_9000191441', '11551_9000189126', '19034_9000191153', '19207_9000192128', '19317_9000192129', '20024_9000191908', '20265_9000191261', '50008_9000192123', '50116_9000192966']",0,0,[],,,0,0,True
104,16744,Neuherberg,['Neuherberg'],"['9251_9000182399', '9608_9000171564', '10086_9000186358', '10378_9000166829', '10650_9000187428', '10737_9000166816', '11411_9000188200', '11457_9000181092', '11549_9000181259', '20260_9000185397', '20270_9000176931', '50018_9000181024', '20331_9000166567', '50138_9000179432']","['9295_9000192348', '9609_9000193145', '10301_9000193037', '10810_9000192500', '10823_9000192401', '10955_9000189939', '11184_9000192096', '11185_9000192769', '11186_9000192948', '11408_9000192679', '11540_9000193336', '19030_9000192441', '19080_9000190599', '19139_9000193395', '19159_9000191144', '19174_9000192577', '19183_9000192975', '19185_9000191749', '19219_9000192684', '19267_9000192718', '20466_9000193025', '20536_9000193762']",0,0,[],,,0,0,True
105,16745,Neuherberg,['Neuherberg'],"['9028_9000189166', '10041_9000187902', '10159_9000183956', '10329_9000182952', '11412_9000185132', '11443_9000182528', '11504_9000186969', '19002_9000180309', '19020_9000169295', '19285_9000187787', '20067_9000189154', '20184_9000177691', '20563_9000175722', '20612_9000163814', '50037_9000180629', '50058_9000179393', '50024_9000170805']","['9048_9000194038', '9053_9000193979', '10237_9000193892', '10740_9000195662', '11360_9000193019', '11367_9000194308', '11417_9000194463', '11444_9000193354', '11542_9000195018', '11568_9000194703', '19136_9000193997', '19177_9000194058', '19250_9000194352', '19293_9000194338', '20020_9000194211', '20130_9000193693', '20270_9000192828', '20538_9000194655', '11334_9000194203']",0,0,[],,,0,0,True
